Country,Totallife2000,Malelife2000,Femalelife2000,Totallife2010,Malelife2010,Femalelife2010,Totallife2016,Malelife2016,Femalelife2016,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total
Saint Lucia,72.2,70.2,74.1,74.7,72,77.4,75.6,73,78.3,81,83,82,87,93,88,88,80,87,94,97,95,91,78,88,98,98,98
Saint Vincent and the Grenadines,70.9,68.8,73,72.1,70.1,74.2,72,69.4,74.9,0,0,71,0,0,93,0,0,83,0,0,95,0,0,87,0,0,95
Samoa,70,67.1,73.5,73.3,70.2,76.7,75.1,72,78.4,97,99,98,92,90,92,98,99,98,94,95,94,98,99,98,97,100,97
Sao Tome and Principe,62.9,61.2,64.7,67,65,69,68.7,66.7,70.7,14,26,20,58,71,65,24,40,34,70,81,77,31,48,43,77,87,84
Saudi Arabia,72.7,71.1,74.5,73.8,72.5,75.4,74.8,73.5,76.5,0,0,98,0,0,97,0,0,99,0,0,99,0,0,100,0,0,100
Senegal,56.8,55.4,58.2,63.9,62.3,65.4,66.8,64.7,68.7,23,63,39,40,89,60,32,65,46,57,91,72,39,65,51,69,92,79
Serbia,72.5,69.8,75.2,74.9,72.4,77.4,76.3,73.8,78.9,94,96,95,97,93,95,95,98,97,92,88,90,95,99,98,88,83,86
Seychelles,71.7,67.5,76.4,72.3,68.2,77.2,73.3,69,78,0,0,94,0,0,93,0,0,98,0,0,96,0,0,100,0,0,96
Sierra Leone,39.8,39,40.7,49.2,48.6,49.8,53.1,52.5,53.8,5,20,10,24,68,40,7,23,13,39,73,52,8,25,15,49,75,60
Singapore,78.5,76.2,80.8,81.8,79.3,84.2,82.9,80.8,85,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100
Slovakia,73.2,69.1,77.4,75.5,71.6,79.2,77.4,73.8,80.9,97,99,98,97,99,98,97,99,98,98,99,99,97,99,98,100,100,100
Slovenia,76.1,72.3,79.8,79.5,76.2,82.8,80.9,78,83.7,99,99,99,99,100,100,99,99,99,99,100,100,99,99,99,99,100,100
Solomon Islands,66.5,65.5,67.6,69.7,68.4,71.1,71.1,69.7,72.7,13,62,20,76,90,79,16,70,27,69,91,74,19,78,33,62,91,69
Somalia,51.1,49.7,52.5,53,51.4,54.7,55.4,53.7,57.3,7,45,20,4,50,20,13,53,29,21,69,40,19,60,37,27,81,51
South Africa,59,56.1,62,58,55.6,60.4,63.6,60.2,67,42,71,59,66,98,85,61,74,69,75,99,90,73,76,75,80,99,92
South Sudan,49.7,48.5,50.9,55.9,55.1,56.7,58.6,57.7,59.6,0,0,0,0,0,0,0,0,0,0,0,0,5,34,10,36,63,41
Spain,79.4,75.9,82.8,82.1,79.1,85.1,83.1,80.3,85.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sri Lanka,71.6,68.2,75.2,74.7,71.3,78.1,75.3,72.1,78.5,85,85,85,76,95,80,92,87,91,83,96,85,95,94,95,87,97,89
Sudan,58.8,56.9,60.7,63.2,61.5,65,65.1,63.4,66.9,11,40,21,35,60,43,17,50,28,44,67,52,24,60,36,53,74,60
Suriname,67.7,65,70.7,70.4,67.2,73.8,71.8,68.7,75.1,59,89,79,74,98,90,68,89,82,83,98,93,74,89,84,87,98,95
Sweden,79.7,77.4,82,81.5,79.5,83.5,82.4,80.6,84.1,100,99,99,100,100,100,100,99,99,100,100,100,100,99,99,100,100,100
Switzerland,79.8,76.9,82.6,82.4,80.1,84.5,83.3,81.2,85.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Syrian Arab Republic,73,71,75.2,73.8,72.2,75.4,63.8,59.4,68.9,88,96,93,90,99,95,90,94,93,93,99,96,91,92,91,95,99,97
Tajikistan,65.5,63.4,67.6,69.7,67.9,71.7,70.8,68.7,73,89,93,90,43,90,56,94,94,94,62,94,70,97,95,97,74,96,80
Thailand,70.6,66.9,74.6,74,70.6,77.6,75.5,71.8,79.3,93,89,92,92,98,94,96,95,96,97,99,98,98,99,98,99,100,99
Republic of North Macedonia,73,70.7,75.4,74.8,72.7,77.1,75.9,73.8,78,77,91,85,99,100,99,88,97,93,97,94,95,97,100,99,97,91,93
Timor-Leste,59.1,57.9,60.4,67.1,65.7,68.4,68.6,66.8,70.4,0,0,0,0,0,0,37,70,46,55,87,64,43,75,52,67,98,77
Togo,54.9,53.9,55.9,57.8,57,58.5,60.6,59.7,61.5,3,24,10,30,79,46,5,27,13,41,85,57,7,28,16,47,88,64
Tonga,71.5,69.5,73.5,72.7,70,75.6,73.4,70.5,76.4,86,99,89,99,97,98,90,98,92,99,99,99,92,97,93,100,100,100
Trinidad and Tobago,69.4,66.3,72.7,70.9,67.5,74.5,71.8,68.2,75.6,0,0,90,0,0,92,0,0,93,0,0,96,0,0,93,0,0,98
Tunisia,72.8,70.6,75.4,74.9,72.7,77.2,76,74.1,78.1,48,94,77,71,98,88,69,95,86,79,99,92,81,95,91,88,100,96
Turkey,70.9,67.7,74.3,74.6,71.3,77.8,76.4,73.3,79.4,69,89,82,89,99,95,82,96,92,96,99,98,90,100,97,100,99,99
Turkmenistan,63.5,59.4,67.8,66.6,62.8,70.5,68.2,64.7,71.7,96,89,93,79,96,87,98,93,96,91,98,95,99,97,98,98,100,99
Uganda,45.9,44,47.8,57.6,56.1,59.1,62.5,60.2,64.8,15,31,17,19,70,27,16,28,18,31,73,39,16,26,18,40,75,48
Ukraine,67.5,62,73.1,69.9,64.9,74.8,72.5,67.6,77.1,89,97,94,95,100,98,92,97,96,97,94,95,94,97,96,99,91,94
